sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1473	175769	177285	175769	63682268	29.56	308416
s1474	144349	145241	144349	52250768	23.45	309824
s1475	238338	240321	238338	86413895	30.87	934220
s1476	197425	198707	197425	71573642	31.48	804628
s1477	173362	174491	173362	62860418	24.99	589008
s1478	163983	164958	163983	59423142	31.72	523596
s1479	222180	223713	222180	80563435	26.21	419620
s1480	215073	216360	215073	77928027	29.82	357312
s1481	211735	213289	211735	76718017	29.79	399040
s1482	172515	173550	172515	62464773	26.09	649400
s1483	331713	336542	331713	120323965	38.03	795996
s1484	407227	417422	407227	147653440	27.01	404488
s1485	213984	215586	213984	77514752	29.41	328744
s1486	277764	280421	277764	100806912	30.12	526216
s1487	200129	201506	200129	72517603	57.41	408772
s1488	221025	222580	221025	80183329	29.21	663476
s1489	379542	389165	379542	137429612	30.08	426244
s1490	233210	234934	233210	84588650	34.7	566844
s1491	132118	132886	132118	47817873	30.25	969268
s1492	231933	233780	231933	84121165	26.01	297176
s1493	184777	186100	184777	66961963	34.7	883800
s1494	176319	177348	176319	63841011	32.9	574488
s1495	122626	123217	122626	44368060	50.13	323016
s1496	175067	176206	175067	63421406	28.54	409684
s1497	254315	256032	254315	92223099	38.45	593576
s1498	128744	129440	128744	46638833	27.5	634140
s1499	125005	125828	125005	45201922	26.83	533652
s1500	116931	117630	116931	42262465	24.61	642832
s1501	214057	215810	214057	77614588	36.03	1027960
s1502	201604	202851	201604	73037092	27.0	338540
s1503	297008	299366	297008	107616239	35.92	975468
s1504	173563	174538	173563	62952789	55.59	2038772
s1505	163529	164544	163529	59254149	29.56	890664
s1506	128282	128927	128282	46446874	25.6	276156
s1507	413559	420057	413559	150065176	44.11	774916
s1508	98556	98865	98556	35602217	30.2	387920
s1509	286881	290531	286881	103974966	27.04	732332
s1510	121544	122311	121544	43981232	21.42	393716
s1511	132769	133647	132769	48021406	23.72	256796
s1512	179957	181251	179957	65149723	23.19	379820
s1513	232711	234711	232711	84195117	32.03	479972
s1514	125570	126180	125570	45458706	24.13	449108
s1515	232086	233773	232086	84126146	26.76	268956
s1516	165970	166755	165970	60117986	36.59	471296
s1517	209014	210391	209014	75714879	27.75	317440
s1518	254014	255883	254014	92118798	32.75	522672
s1519	170733	171745	170733	61836808	25.24	360572
